artist,country,genre,image_uri,uri,debut_album_year,track_name,song_uri,song_image_uri,group_size,gender
Drake,ca,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,spotify:artist:3TVXtAsR1Inumwj472S9r4,2009,Rich Flex,https://p.scdn.co/mp3-preview/a1586c5c9b24718272ad8d06128cb9d8c519a3fa?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,1,m
Bad Bunny,pr,Latin,https://i.scdn.co/image/ab6761610000e5eb8ee9a6f54dcbd4bc95126b14,spotify:artist:4q3ewBCX7sLwd24euuV69X,2018,Me Porto Bonito,https://p.scdn.co/mp3-preview/4664314ac1423cd8d6730a9d01640f636ec06bfc?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,1,m
The Weeknd,ca,Pop,https://i.scdn.co/image/ab6761610000e5ebb5f9e28219c169fd4b9e8379,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,2011,Creepin' (with The Weeknd & 21 Savage),https://p.scdn.co/mp3-preview/550c53ffe16455f6481961ac109974d9e1135d79?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,1,m
Justin Bieber,ca,Pop,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,spotify:artist:1uNFoZAHBGtllmzznpCI3s,2009,STAY (with Justin Bieber),https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a,1,m
Eminem,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,1999,Mockingbird,https://p.scdn.co/mp3-preview/6048de592881b7976a12d5c179d3a5d2e191dd83?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,1,m
Ed Sheeran,uk,Pop,https://i.scdn.co/image/ab6761610000e5eb12a2ef08d00dd7451a6dbed6,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,2011,Perfect,https://p.scdn.co/mp3-preview/229419b7fe43f4aa963e8ed8eecabc4b87c4958e?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,1,m
Kanye West,us,Hip Hop,resources/kanye.jpeg,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,2004,Bound 2,https://p.scdn.co/mp3-preview/29e764b42b388d06a2d4abdc2bdae9e1834cf296?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9,1,m
Post Malone,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5ebb894ef9fa437b0389c5567cc,spotify:artist:246dkjvS1zLTtiykXe5h60,2016,I Like You (A Happier Song) (with Doja Cat),https://p.scdn.co/mp3-preview/4d41c0cb71956cf3d9b065bb68622138ee530d2a?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,1,m
Taylor Swift,us,Pop,https://i.scdn.co/image/ab6761610000e5eb5a00969a4698c3132a15fbb0,spotify:artist:06HL4z0CvFAxyc27GXpf02,2006,Anti-Hero,https://p.scdn.co/mp3-preview/143b8fc4b793857bd9332773318f28a530c2b05c?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,1,f
Ariana Grande,us,Pop,https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,2013,Santa Tell Me,https://p.scdn.co/mp3-preview/b37da0d6c4e749b3e87c1c5e7bad580e9636ee2d?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273fb704b7e832b40f08c14629c,1,f
J Balvin,co,Latin,https://i.scdn.co/image/ab6761610000e5eb5d0fc400392250a750a9403e,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,2012,LA CANCIÓN,https://p.scdn.co/mp3-preview/a15a69bc0509eaa445185598d9e81b926e15c2e8?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,1,m
Rihanna,bb,Pop,https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,2005,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,https://p.scdn.co/mp3-preview/e40abc504d37327212a310f9c38ec1358a2316fe?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273992a1f56ac5382848277cff2,1,f
